"Επώνυμο (αρχικού)",Όνομα,Βαθμίδα,"Επίπεδο Εποπτείας","Όνομα (επόπτη)",Επώνυμο,Βαθμίδα
Ντζιαβίδα,Κοραλία,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Ντόβας,Τίμων,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Ντόκος,Κλυταιμνήστρα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Νώε,Ανατολή,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Ξηρίδου,Γιώργος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Ξηροτύρη,Όμηρος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Παλαιολόγος,Χρυσοβαλάντω,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Παλαμπουγιούκη,Ιουλιανός,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Παλιεράκη,Παυλίνα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Πάνος,Κομνηνή,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Πάνου,Βαρβάρα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Παντζέκος,Πολύκαρπος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Παπαγεωργίου,Χρυσοβαλάντου,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Παπαγιάννης,Αγνή,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Παπαευαγγέλου,Πάτροκλος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Παπαθανασίου,Σταματίνα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Παπασταύρου,Ευανθία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Παπατζήκα,Αυγέρης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Παπαχρήστου,Αρτέμιος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Παππά,Σάββας,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Παππάς,Αριστείδης,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Πεμούση,Αργυρώ,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Πέππας,Πηνελόπη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Περπινιάς,Αθανάσιος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Περρώτης,Ευγενία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Πετρίδης,Ανθή,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Πετρόπουλος,Τριαντάφυλλη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Πετρόπουλος,Αριστοτέλης,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Πέτρου,Κόσμια,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Πισχινάς,Δήμος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Πολυχρονόπουλος,Προκόπιος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Πουλίδα,Μερκούριος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Πουλίδα,Φαίδων,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Πουλογιαννόπουλος,Δαμιανή,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Πυλαρινός,Δούκισσα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Ράπτης,Ευστράτιος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Ροϊδούλης,Ηλιάνα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Ρούσσου,Παντελεήμων,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Σαλταούρας,Κλειώ,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Σαμακίδης,Ζαφειρία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Σαμαράς,Νικητία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Σαραντινός,Μαριάνθη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Σάτλας,Αλέξιος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Σεβαστού,Μαρκέλλα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Σίββα,Εύα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Σιόλου,Κλέαρχος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Σιτόπουλος,Τρισεύγενη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Σκαφτούρου,Πασχαλιά,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Σκρίμπας,Γεσθημανή,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Σκρίμπας,Καρυοφυλλιά,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Σμιτ,Κομνηνός,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Σοκολάκη,Λαυρεντία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Σόφρα,Ευσταθία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Σπανουδάκης,Βενιζέλος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Σπανοχριστοδούλου,Πολυχρονία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Σταθά,Αγλαΐα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Σταμόπουλος,Οδυσσέας,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Σταυρίδου,Ναπολέων,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Στούμπου,Αυξέντιος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρίσταρχος,Πανοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Ταμπορρίνο,Πολύδωρα,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Ταχτσίδης,Ελευθέριος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Τερζίδης,Τριαντάφυλλη,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Τουρνά,Ιουλιανός,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Τουρνά,Ανθούλα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Τριαντακωνσταντής,Ιωάννα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Τσέλλος,Φανή,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Τσεμπερλίδης,Αριστομένης,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Τσεμπερλίδης,Ιφιγένεια,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Τσέτου,Πλάτων,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Τσιαντάς,Καλλίνικη,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Τσικνή,Πολύμνια,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Τσιρώνης,Αλκιβιάδης,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Τσόλκας,Στυλιανός,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Τσώνης,Βαλεντίνα,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Φαλιέρος,Βαρβάρα,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Φιδάνη,Προμηθέας,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Φιδάνη,Βερόνικα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Φίλκα,Ροδαμάνθη,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Φουσιέκης,Βενιαμίν,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ίκαρος,Καρακυρίου,ΔΙΕΥΘΥΝΤΗΣ
Φουσιέκης,Ζαχαρίας,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ευριπίδης,Κουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Φραγκόπουλος,Σωφρονία,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Φραγκόπουλος,Αγλαΐα,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Φραγκουδάκη,Λογοθέτης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Νεόκλεια,Βασιλάκης,ΔΙΕΥΘΥΝΤΗΣ
Χαβρεδάκης,Υπαπαντή,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Διονυσία,Κονιάρη,ΔΙΕΥΘΥΝΤΗΣ
Χαλατσής,Λαυρεντία,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Αρχέλαος,Θεοδωρόπουλος,ΔΙΕΥΘΥΝΤΗΣ
Χαρμπίλας,Γαρύφαλλος,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Χατζαντώνης,Ιγνατία,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Χατζελλής,Μαργαρίτα,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Βαλεντίνα,Ξανθάκης,ΔΙΕΥΘΥΝΤΗΣ
Χατζή,Ρουμπίνη,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Βαλάντω,Ζαρειφοπούλου,ΔΙΕΥΘΥΝΤΗΣ
Χουντής,Ανδροκλής,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
Χουντής,Σωτήριος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ασημίνα,Τσαντίδου,ΔΙΕΥΘΥΝΤΗΣ
Χρήστου,Βιργινία,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Περσεφόνη,Μενγκ,ΔΙΕΥΘΥΝΤΗΣ
Χρυσίδης,Αναγνώστης,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Χρυσικάκη,Μιχάλης,"ΕΠΙΜΕΛΗΤΗΣ Α",1,Λεονάρδος,Χολέβα,ΔΙΕΥΘΥΝΤΗΣ
Χρυσουλής,Βλαδίμηρος,"ΕΠΙΜΕΛΗΤΗΣ Β",1,Δαμασκηνή,Μουσελίμης,ΔΙΕΥΘΥΝΤΗΣ
Χωριανοπούλου,Σέργιος,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Πολύβιος,Σαουλίδης,ΔΙΕΥΘΥΝΤΗΣ
Ψυλλάκης,Ιάσονας,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Κλεόπας,Ρέππος,ΔΙΕΥΘΥΝΤΗΣ
Ψυρρή,Περσεφόνη,ΕΙΔΙΚΕΥΟΜΕΝΟΣ,1,Ζαχαρούλα,Πετρογιάννης,ΔΙΕΥΘΥΝΤΗΣ
